T=16.2, H=51.2, 21-Nov-2015, 03.15.03
T=16.1, H=51.2, 21-Nov-2015, 03.30.03
T=16.1, H=51.4, 21-Nov-2015, 03.45.05
T=16.1, H=51.4, 21-Nov-2015, 04.00.02
T=16.1, H=51.2, 21-Nov-2015, 04.15.03
T=16.0, H=51.4, 21-Nov-2015, 04.30.03
T=16.0, H=51.3, 21-Nov-2015, 04.45.02
T=16.0, H=51.2, 21-Nov-2015, 05.00.03
T=16.0, H=51.3, 21-Nov-2015, 05.15.02
T=16.0, H=51.0, 21-Nov-2015, 05.30.02
T=15.9, H=51.3, 21-Nov-2015, 05.45.08
T=15.9, H=51.3, 21-Nov-2015, 06.00.02
T=3.1, H=51.2, 21-Nov-2015, 06.15.02
T=15.8, H=51.2, 21-Nov-2015, 06.30.02
T=15.8, H=51.2, 21-Nov-2015, 06.45.05
T=15.8, H=51.2, 21-Nov-2015, 07.00.03
T=15.8, H=50.9, 21-Nov-2015, 07.15.05
T=15.8, H=50.9, 21-Nov-2015, 07.30.03
T=15.7, H=50.8, 21-Nov-2015, 07.45.05
T=15.7, H=50.6, 21-Nov-2015, 08.00.08
T=15.7, H=50.6, 21-Nov-2015, 08.15.05
T=15.7, H=50.6, 21-Nov-2015, 08.30.02
T=15.8, H=50.5, 21-Nov-2015, 08.45.06
T=15.7, H=50.5, 21-Nov-2015, 09.00.02
T=15.8, H=50.2, 21-Nov-2015, 09.15.03
T=15.9, H=49.3, 21-Nov-2015, 09.30.02
T=15.9, H=48.1, 21-Nov-2015, 09.45.02
T=16.0, H=46.3, 21-Nov-2015, 10.00.03
T=15.9, H=38.1, 21-Nov-2015, 10.15.02
T=15.3, H=35.0, 21-Nov-2015, 10.30.08
T=15.3, H=34.9, 21-Nov-2015, 10.45.03
T=15.1, H=33.3, 21-Nov-2015, 11.00.02
T=14.9, H=31.4, 21-Nov-2015, 11.15.03
T=14.5, H=28.7, 21-Nov-2015, 11.30.03
T=14.4, H=29.6, 21-Nov-2015, 11.45.02
T=14.0, H=27.2, 21-Nov-2015, 12.00.03
T=13.6, H=26.1, 21-Nov-2015, 12.15.05
T=13.6, H=26.1, 21-Nov-2015, 12.30.03
T=13.3, H=23.9, 21-Nov-2015, 12.45.05
T=13.1, H=24.7, 21-Nov-2015, 13.00.05
T=13.1, H=24.7, 21-Nov-2015, 13.15.03
T=13.0, H=25.6, 21-Nov-2015, 13.30.02
T=12.9, H=26.5, 21-Nov-2015, 13.45.03
T=12.9, H=26.1, 21-Nov-2015, 14.00.03
T=12.8, H=26.2, 21-Nov-2015, 14.15.02
T=12.7, H=26.7, 21-Nov-2015, 14.30.03
T=12.7, H=26.4, 21-Nov-2015, 14.45.03
T=12.7, H=26.6, 21-Nov-2015, 15.00.02
T=12.7, H=26.0, 21-Nov-2015, 15.15.03
T=12.6, H=26.8, 21-Nov-2015, 15.30.03
T=13.0, H=31.7, 21-Nov-2015, 15.45.05
T=13.7, H=34.1, 21-Nov-2015, 16.00.02
T=13.9, H=34.5, 21-Nov-2015, 16.15.03
T=15.0, H=34.8, 21-Nov-2015, 16.30.33
T=15.8, H=36.8, 21-Nov-2015, 16.45.05
T=16.0, H=37.1, 21-Nov-2015, 17.00.02
T=16.0, H=37.5, 21-Nov-2015, 17.15.06
T=16.2, H=38.0, 21-Nov-2015, 17.30.02
T=16.2, H=38.3, 21-Nov-2015, 17.45.08
T=16.4, H=38.9, 21-Nov-2015, 18.00.05
T=16.9, H=39.1, 21-Nov-2015, 18.15.03
T=18.1, H=38.1, 21-Nov-2015, 18.30.02
T=19.1, H=37.6, 21-Nov-2015, 18.45.02
T=18.3, H=36.4, 21-Nov-2015, 19.00.03
T=18.3, H=36.5, 21-Nov-2015, 19.15.02
T=18.3, H=36.1, 21-Nov-2015, 19.30.03
T=18.6, H=36.6, 21-Nov-2015, 19.45.03
T=19.0, H=36.6, 21-Nov-2015, 20.00.05
T=19.0, H=36.7, 21-Nov-2015, 20.15.02
T=18.7, H=37.0, 21-Nov-2015, 20.30.05
T=18.6, H=36.9, 21-Nov-2015, 20.45.02
T=17.8, H=39.0, 21-Nov-2015, 21.00.08
T=17.8, H=38.9, 21-Nov-2015, 21.15.03
T=17.6, H=39.2, 21-Nov-2015, 21.30.02
T=17.2, H=39.7, 21-Nov-2015, 21.45.03
T=17.1, H=40.0, 21-Nov-2015, 22.00.02
T=16.8, H=40.2, 21-Nov-2015, 22.15.02
T=16.7, H=40.6, 21-Nov-2015, 22.30.03
T=16.5, H=40.8, 21-Nov-2015, 22.45.02
T=16.4, H=40.9, 21-Nov-2015, 23.00.02
T=16.3, H=41.0, 21-Nov-2015, 23.15.03
T=16.3, H=41.2, 21-Nov-2015, 23.30.02
T=16.1, H=41.6, 21-Nov-2015, 23.45.03
